title,authors,year,journal,doi,abstract,citations,url,publisher,type,source,issn,isbn,volume,issue,pages,language,subjects,license,references_count,is_referenced_by_count,published_print,published_online,editor,funder,link,is_open_access,open_access_url,score
Lessons from the modernist project for the Amazon,['Renato Leão Rego'],,Paranoá,10.18830/1679-09442024v17e45496,"<jats:p>In 1972, the Brazilian government implemented a colonisation scheme and a series of new towns along the Transamazonian Highway, then under construction. The state-driven project aimed for regional development, economic growth, and national integration, which legitimised the military regime. Despite robust funding, it was abandoned as a failure a couple of years later. Since then, deforestation and a low Human Development Index have marked the region. This paper analyses the governmental colonisation project and its manifestation through historical interpretative method and urban morphology, based on original documents, a site visit, and economic, political, social, environmental, and agricultural studies. The paper introduces the notion of national development and modernisation, closely related to the physical transformation of the natural environment. It then examines the colonisation scheme and the new town layouts. It also compares them with a successful precedent, the private colonisation enterprise in northern Paraná state. Finally, the paper points out some of the constraints of the Amazonia project and sheds light on this town and country planning fiasco. The general argument is that architectural and urban design was treated as a sign of modernity insofar as it implied a radically different outcome from both the contested urban reality and the natural environment to be subjugated. Modernist thought and functionalist layouts materialised the aspiration to completely transform the habitat instead of adapting to it.</jats:p>",0,https://doi.org/10.18830/1679-09442024v17e45496,Programa de Pos-Graduacao em Arquitetura e Urbanismo - Univ. de Brasilia,journal-article,CrossRef,"['1679-0944', '1677-7395']",[],17,,e45496,en,[],"[{'start': {'date-parts': [[2024, 3, 19]], 'date-time': '2024-03-19T00:00:00Z', 'timestamp': 1710806400000}, 'content-version': 'unspecified', 'delay-in-days': 0, 'URL': 'https://creativecommons.org/licenses/by/4.0'}]",0,0,{},"{'date-parts': [[2024, 3, 19]]}",[],[],"[{'URL': 'https://www.periodicos.unb.br/index.php/paranoa/article/download/45496/39835', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://www.periodicos.unb.br/index.php/paranoa/article/download/45496/39835', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,https://creativecommons.org/licenses/by/4.0,18.903828
Mudanças imperceptíveis da amazônia – ilustrações e relatos do Livro In Amazonia: a natural history do autor Hugh Raffles,['João Paulo Lopes da Cunha'],,Mundo Amazónico,10.15446/ma.v10n1.74787,"<jats:p>Em sinopse, as entrelinhas do livro possibilitam organizar a real atividade humana e não humana durante a mudança da história e o curso do desenvolvimento amazônico. De modo geral, a obra literária descreve como ao longo de séculos a vida e a interação com os rios e florestas foram capazes de remodelar o local de forma integrada e muitas vezes imperceptível. Em suas entrevistas e histórias narradas por nativos da região, o autor aborda os períodos de riqueza, declínio, conflitos e emigração, dando ênfase ao processo criativo e como todo esse processo concede vida ao ambiente de forma única e não reproduzida ou reprodutível. Raffles repetidamente aproxima as interações entre exploradores e ecologia amazônica, que necessariamente implica em proximidade física, é claro, mas também a emocional.</jats:p>",0,https://doi.org/10.15446/ma.v10n1.74787,Universidad Nacional de Colombia,journal-article,CrossRef,"['2145-5082', '2145-5074']",[],10,1,,en,[],"[{'start': {'date-parts': [[2019, 1, 1]], 'date-time': '2019-01-01T00:00:00Z', 'timestamp': 1546300800000}, 'content-version': 'unspecified', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by-nc-nd/4.0'}]",0,0,{},"{'date-parts': [[2019, 1, 1]]}",[],[],"[{'URL': 'https://revistas.unal.edu.co/index.php/imanimundo/article/viewFile/74787/71314', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://revistas.unal.edu.co/index.php/imanimundo/article/viewFile/74787/71314', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,http://creativecommons.org/licenses/by-nc-nd/4.0,18.898434
"Território e povoamento na Amazônia: o caso da comunidade de Boa Esperança, Santarém (PA)","['André das Chagas Santos', 'Izaura Cristina Nunes Pereira Costa']",,Revista Amazonia Investiga,10.34069/ai/2020.31.07.5,"<jats:p>A compreensão do processo de ocupação da Amazônia, perpassa pela análise das políticas de desenvolvimento implementadas pelo Estado na região, a partir da década de 1960. No âmbito do conjunto de ações com foco, inicialmente, na integração nacional, a abertura de rodovias foi um subsídio necessário para o alcance dos objetivos propostos, além da formação de uma rede urbana, como base logística de ocupação. Nesse contexto, surgem na região inúmeros núcleos populacionais tanto induzidos quanto espontâneos, tal como a Comunidade de Boa Esperança, no município de Santarém, oeste do Pará. Nesse contexto, o presente trabalho analisa o processo de formação territorial da comunidade de Boa Esperança no bojo das políticas de desenvolvimento regionais, além das especificidades territoriais que atribuem papel de destaque à comunidade na economia local. Para tanto, realizou-se revisão bibliográfica, jornalística, documental e pesquisa de campo. As origens da comunidade de Boa Esperança relaciona-se à construção da PA-370 (Santarém-Curuá-Una) e da Usina Hidrelétrica Sylvio Braga, também conhecida como hidrelétrica de Curuá-Una. Constatou-se três fases em seu processo de desenvolvimento histórico e territorial: A fase extrativista, a fase de organização e consolidação da comunidade, e a fase de especialização da produção e agronegócio.</jats:p>",0,https://doi.org/10.34069/ai/2020.31.07.5,Amazonia Investiga,journal-article,CrossRef,['2322-6307'],[],9,31,52-63,en,[],"[{'start': {'date-parts': [[2020, 8, 7]], 'date-time': '2020-08-07T00:00:00Z', 'timestamp': 1596758400000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'https://creativecommons.org/licenses/by/4.0/'}]",0,0,{},"{'date-parts': [[2020, 8, 7]]}",[],[],"[{'URL': 'https://amazoniainvestiga.info/check/31/05-52-63.pdf', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,https://creativecommons.org/licenses/by/4.0/,18.820366
Mudanças Climáticas e os Desafios Enfrentados pela Amazônia,['Marco Aurélio De Menezes Franco'],,Cadernos de Astronomia,10.47456/cad.astro.v6n1.47433,"<jats:p>A Amazônia, um dos biomas mais ricos em biodiversidade do planeta, desempenha um papel essencial na regulação climática global e no ciclo hidrológico da América do Sul. No entanto, as mudanças climáticas e a intensificação das atividades humanas, como o desmatamento e as queimadas, têm causado impactos significativos na estabilidade ecológica da região. Este artigo analisa os efeitos das transformações no uso da terra no clima amazônico, enfatizando a relação entre a degradação florestal, a emissão de gases de efeito estufa (GEE) e as alterações nos padrões de precipitação. Também são discutidos os impactos da poluição atmosférica, incluindo aerossóis de origem local e transcontinental, que afetam o balanço radiativo e a formação de chuvas. Diante desse cenário, reforça-se a necessidade de políticas ambientais rigorosas e cooperação internacional para mitigar os efeitos das mudanças climáticas e preservar a resiliência do bioma. A realização da COP 2025 em Belém do Pará é destacada como uma oportunidade estratégica para fortalecer compromissos globais voltados à conservação da floresta e à mitigação dos impactos ambientais.</jats:p>",0,https://doi.org/10.47456/cad.astro.v6n1.47433,Universidade Federal do Espirito Santo,journal-article,CrossRef,['2675-4754'],[],6,1,11-22,en,[],"[{'start': {'date-parts': [[2025, 4, 3]], 'date-time': '2025-04-03T00:00:00Z', 'timestamp': 1743638400000}, 'content-version': 'unspecified', 'delay-in-days': 0, 'URL': 'https://creativecommons.org/licenses/by/4.0'}]",56,0,{},"{'date-parts': [[2025, 4, 3]]}",[],[],"[{'URL': 'https://periodicos.ufes.br/astronomia/article/download/47433/33327', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://periodicos.ufes.br/astronomia/article/download/47433/33327', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,https://creativecommons.org/licenses/by/4.0,18.765919
"O saber-fazer interdisciplinar: uma perspectiva sobre a atividade ceramista do bairro do Paracuri, Icoraci, Amazônia","['Fernanda Campos de Araújo', 'Amanda Carvalho da Silva', 'Ligia Terezinha Lopes Simonian']",,Revista Amazonia Investiga,10.34069/ai/2025.85.01.1,"<jats:p>No   Distrito   de   Icoaraci –administrado   pelo município  de  Belém –no  bairro  do  Paracuri  é realizada   a   reprodução   artesanal   e   ancestral   da cerâmica.  As  etapas  de  produção  da  cerâmica  em Icoaraci, incorporam    uma    extensa    cadeia    de conhecimentos, dessa maneira o objetivo do trabalho é  discutir  a  interdisciplinaridade  no  saber-fazer  da atividade  de  ceramistas  do  bairro  do  Paracuri.  Para isso,  o  trabalho  foi  realizado  com  base  na  visita técnica realizada na região, na qual foi acompanhada pelo  método  olhar,  ouvir  e  escrever  e  por  uma extensa  revisão  de  literatura  sobre  o  tema.  Isso possibilitou  identificar  que  a  produção  de  objetos cerâmicos sofreu inúmeros processos de modificação ao  longo  dos  anos  e  apesar  dessas  modificações, ainda é um processo de trocas de conhecimentos de geração  em  geração,  transmitidos  pela  oralidade. Estes  conhecimentos  são  complexos  e,  portanto, interdisciplinares,   começam   desde   a   coleta   da matéria    prima,    havendo    necessidade    de um conhecimento  sobre  solos,  até  a  etapa  final,  com  a aplicação  e  fabricação  de  tintas  e  produção  de ferramentas.</jats:p>",0,https://doi.org/10.34069/ai/2025.85.01.1,Amazonia Investiga,journal-article,CrossRef,[],[],14,85,9-20,en,[],"[{'start': {'date-parts': [[2025, 1, 30]], 'date-time': '2025-01-30T00:00:00Z', 'timestamp': 1738195200000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'https://creativecommons.org/licenses/by/4.0/'}]",0,0,{},"{'date-parts': [[2025, 1, 30]]}",[],[],"[{'URL': 'https://amazoniainvestiga.info/check/85/1-9-20.pdf', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,https://creativecommons.org/licenses/by/4.0/,18.454384
"Deforestación, violencia y reterritorialización en el Noroeste de la Amazonia colombiana",['César Augusto Otálvaro-Sierra'],,Revista Campo-Território,10.14393/rct153506,<jats:p/>,1,https://doi.org/10.14393/rct153506,PPUFU - Portal de Periódicos da Universidade Federal de Uberlândia,journal-article,CrossRef,['1809-6271'],[],15,35 Abr.,150-171,en,[],"[{'start': {'date-parts': [[2020, 6, 30]], 'date-time': '2020-06-30T00:00:00Z', 'timestamp': 1593475200000}, 'content-version': 'unspecified', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by-nc-nd/4.0'}]",0,1,{},"{'date-parts': [[2020, 6, 30]]}",[],[],"[{'URL': 'https://seer.ufu.br/index.php/campoterritorio/article/download/51469/29259', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://seer.ufu.br/index.php/campoterritorio/article/download/51469/29259', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,http://creativecommons.org/licenses/by-nc-nd/4.0,18.293299
Coleções vegetais no noroeste da Amazônia,"['Laure Emperaire', 'Elaine Moreira']",,Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,10.1590/2178-2547-bgoeldi-2024-0010,"<jats:p>Resumo A altíssima diversidade de plantas cultivadas observadas no contexto dos povos indígenas do noroeste da Amazônia responde ao conceito de uma coleção viva. Estacas, sementes e mudas são bens móveis vivos que circulam por toda a região, num movimento de constante recomposição da diversidade agrobiológica na escala doméstica. A diversidade presente, principalmente das mandiocas, bem como suas formas de manejo se encaixam nessa noção: suas trajetórias espacial e temporal são conhecidas; ela é constituída por plantas documentadas com suas características e seus nomes, atributos fundamentais das plantas cultivadas, as quais são apresentadas e vivenciadas em espaços especializados: as roças. Certas variedades se ancoram nas narrativas de origem das plantas cultivadas, porém surgem pontos de ruptura entre a diversidade relatada nas narrativas ancestrais e nas práticas de hoje, o que nos leva a interrogar o papel da diversidade ao longo da história regional. O acúmulo de diversidade e a coleção serão aspectos relativamente recentes relacionados à colonização? Em conclusão, destacamos que, num periódo de forte instabilidade socioecológica, novas chaves de leitura de uma diversidade biológica criada e manejada pelos povos indígenas, que não limitem sua compreensão à noção hegemônica de recurso fitogenético e assegurem sua continuidade, são necessárias.</jats:p>",0,https://doi.org/10.1590/2178-2547-bgoeldi-2024-0010,FapUNIFESP (SciELO),journal-article,CrossRef,"['2178-2547', '1981-8122']",[],19,3,,en,[],"[{'start': {'date-parts': [[2024, 1, 1]], 'date-time': '2024-01-01T00:00:00Z', 'timestamp': 1704067200000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by/4.0/'}, {'start': {'date-parts': [[2024, 1, 1]], 'date-time': '2024-01-01T00:00:00Z', 'timestamp': 1704067200000}, 'content-version': 'am', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by/4.0/'}, {'start': {'date-parts': [[2024, 1, 1]], 'date-time': '2024-01-01T00:00:00Z', 'timestamp': 1704067200000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by/4.0/'}]",51,0,{},{'date-parts': [[2024]]},[],[],"[{'URL': 'http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1981-81222024000300907&tlng=pt', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,http://creativecommons.org/licenses/by/4.0/,18.125675
"ANÁLISE DA TOXICIDADE DE ÁGUA SUPERFICIAL DO RIO PARAUAPEBAS, EM PARAUAPEBAS, PARÁ, AMAZÔNIA","['Rafael Santos de Jesus', 'Hebe Morganne Campos Ribeiro']",,Revista de Gestão Social e Ambiental,10.24857/rgsa.v18n10-237,"<jats:p>Objetivo: Este estudo objetiva analisar os níveis de metais pesados na água superficial do rio Parauapebas, no município de Parauapebas, Pará, em conformidade com as legislações ambientais CONAMA 357/2005.
 
Referencial Teórico: Baseia-se em estudos sobre contaminação hídrica e seus efeitos em ecossistemas aquáticos, abordando conceitos de toxicidade, bioacumulação de metais pesados e normas ambientais, como a Resolução CONAMA 357/2005.
 
Método: A metodologia adotada é um estudo experimental descritivo com abordagem quali-quantitativa. Amostras de água foram coletadas em quatro pontos estratégicos do rio Parauapebas durante a estação chuvosa de maio de 2024. As análises físico-químicas e de toxicidade foram conduzidas conforme os protocolos do Standard Methods for the Examination of Water and Wastewater.
 
Resultados e Discussão: Os resultados indicaram contaminação por metais pesados como cobre, cromo, ferro, manganês e níquel em níveis acima dos limites permitidos. A condutividade elétrica e a turbidez apresentaram variações significativas, sugerindo influência das atividades humanas. O pH elevado e a temperatura da água também impactaram a solubilidade de substâncias e a atividade biológica. Esses resultados foram discutidos à luz do referencial teórico, destacando a necessidade de políticas rigorosas de gestão ambiental.
 
Implicações da Pesquisa: Esta pesquisa fornece insights práticos e teóricos sobre a gestão de recursos hídricos em regiões afetadas por atividades humanas intensas. As implicações abrangem a necessidade de práticas de mineração sustentável e tratamento adequado de efluentes para preservar a qualidade da água e a saúde pública.
 
Originalidade/Valor: Este estudo contribui para a literatura ao evidenciar os impactos das atividades humanas na qualidade da água do rio Parauapebas e propor medidas de gestão ambiental para mitigar esses efeitos. A relevância deste trabalho está na aplicação dos resultados para melhorar as práticas de gestão de recursos hídricos na região.</jats:p>",0,https://doi.org/10.24857/rgsa.v18n10-237,RGSA- Revista de Gestao Social e Ambiental,journal-article,CrossRef,['1981-982X'],[],18,10,e08771,en,[],"[{'start': {'date-parts': [[2024, 10, 16]], 'date-time': '2024-10-16T00:00:00Z', 'timestamp': 1729036800000}, 'content-version': 'unspecified', 'delay-in-days': 0, 'URL': 'https://creativecommons.org/licenses/by/4.0'}]",32,0,{},"{'date-parts': [[2024, 10, 16]]}",[],[],"[{'URL': 'https://rgsa.openaccesspublications.org/rgsa/article/download/8771/4455', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://rgsa.openaccesspublications.org/rgsa/article/download/8771/4456', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://rgsa.openaccesspublications.org/rgsa/article/download/8771/4456', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,https://creativecommons.org/licenses/by/4.0,17.843369
Políticas de inclusão e acessibilidade no Instituto Federal da Amazônia Amapaense,"['Jemina de Araújo Moraes Andrade', 'Eloyze de Oliveira Monte']",,Revista Vértices,10.19180/1809-2667.v22n22020p368-391,"<jats:p>The purpose of this article is to verify how the accessibility policies adopted at the institution reach students, especially those related to architectural and informational issues. It is a field research, with a qualitative approach. The problem is to examine how Instituto Federal de Educação, Ciência e Tecnologia do Amapá (IFAP) has been working to meet the school’s inclusion policies for students with disabilities, especially in terms of architectural accessibility in furniture and information. Results show that the campus has been working to meet these policies. Despite such efforts, there are issues that deserve attention, mainly maintenance, furniture repair, architecture and information. The challenges are many; however, an inclusive system requires changes in several aspects, and is particularly achieved through the implementation of human rights values.</jats:p>",0,https://doi.org/10.19180/1809-2667.v22n22020p368-391,Essentia Editora,journal-article,CrossRef,"['1809-2667', '1415-2843']",[],22,2,368-391,en,[],"[{'start': {'date-parts': [[2020, 8, 4]], 'date-time': '2020-08-04T00:00:00Z', 'timestamp': 1596499200000}, 'content-version': 'unspecified', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by/4.0'}]",29,0,{},"{'date-parts': [[2020, 8, 4]]}",[],[],"[{'URL': 'https://editoraessentia.iff.edu.br/index.php/vertices/article/download/15479/12947', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://editoraessentia.iff.edu.br/index.php/vertices/article/download/15479/12964', 'content-type': 'application/epub+zip', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://editoraessentia.iff.edu.br/index.php/vertices/article/download/15479/14286', 'content-type': 'text/html', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://editoraessentia.iff.edu.br/index.php/vertices/article/download/15479/12947', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,http://creativecommons.org/licenses/by/4.0,17.830854
O Estado Imperial brasileiro e a colonização militar da Amazônia (1840-1867),['Fernando da Silva Rodrigues'],,Tempo,10.1590/tem-1980-542x2022v280305,"<jats:p>Resumo: Este artigo apresenta a investigação referente à participação do Estado Imperial brasileiro no processo de ocupação da Amazônia brasileira, no período de 1840 a 1867, no projeto político articulado de colonização das áreas inóspitas consideradas como sertões e de controle da população indígena. O estudo realiza uma análise exploratória, a partir da historiografia especializada e de documentos, acerca do arcabouço jurídico-administrativo do processo de ocupação na região Norte do Brasil. Além disso, apresenta os resultados da pesquisa sobre a colonização militar, por meio do levantamento e análise das fontes produzidas pelo Ministério de Negócios da Guerra, articulando as fontes produzidas com os interesses do Estado brasileiro quando o país ainda trabalhava a construção do território e buscava a sua identidade. Tendo por enfoque a Nova História Política, a análise foi embasada pela documentação produzida pelo Exército no período. Assim, analisamos o papel histórico dessa instituição de Estado destinada ao controle das fronteiras e examinamos as tensões sociais neste espaço em torno da ocupação histórica do território e na construção de um ideal de ordem e civilização desejado pelo Estado.</jats:p>",0,https://doi.org/10.1590/tem-1980-542x2022v280305,FapUNIFESP (SciELO),journal-article,CrossRef,"['1980-542X', '1413-7704']",[],28,3,99-117,en,[],"[{'start': {'date-parts': [[2022, 12, 1]], 'date-time': '2022-12-01T00:00:00Z', 'timestamp': 1669852800000}, 'content-version': 'vor', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by/4.0/'}, {'start': {'date-parts': [[2022, 12, 1]], 'date-time': '2022-12-01T00:00:00Z', 'timestamp': 1669852800000}, 'content-version': 'am', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by/4.0/'}, {'start': {'date-parts': [[2022, 12, 1]], 'date-time': '2022-12-01T00:00:00Z', 'timestamp': 1669852800000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'http://creativecommons.org/licenses/by/4.0/'}]",26,0,{},"{'date-parts': [[2022, 12]]}",[],[],"[{'URL': 'http://www.scielo.br/scielo.php?script=sci_pdf&pid=S1413-77042022000300099&tlng=pt', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]",True,http://creativecommons.org/licenses/by/4.0/,17.762716
